latitude,longitude,elevation
  52.04580,-115.78450,1629.34131
  51.98218,-115.63244,1506.00842
  51.73270,-115.77566,2519.91431
  51.77076,-115.82689,2685.41284
  51.76739,-115.67655,2528.98584
  52.00212,-115.65395,1696.58447
  51.78531,-115.77009,2311.30420
  51.86841,-115.81016,1646.12146
  51.72772,-115.68701,1688.85010
  51.92161,-115.88640,2415.34155
  51.84451,-115.71823,1994.10083
  51.94235,-115.80135,2153.09082
  51.78671,-115.85673,2093.91235
  52.15195,-115.64426,1464.36987
  52.14531,-115.64082,1582.83215
  51.82735,-115.83485,2207.11572
  51.86728,-115.51394,1735.89380
  51.98529,-115.84378,2116.81494
  51.82369,-115.51279,2251.52905
  52.03419,-115.53163,1435.57910
  52.02531,-115.86318,1930.02380
  52.11008,-115.84814,1782.00000
  51.81611,-115.56249,2100.20044
  51.79393,-115.88448,2207.43457
  52.01893,-115.68840,1498.90564
  51.97345,-115.79486,1798.44617
  52.14144,-115.79090,1700.24133
  51.87542,-115.69599,1929.60925
  51.79951,-115.60601,1988.16968
  51.75724,-115.88619,2590.06299
  52.08017,-115.58192,1688.74219
  52.00323,-115.71302,1588.42395
  51.73826,-115.63402,1768.38245
  52.10496,-115.55353,1762.20996
  52.12026,-115.60795,1587.08289
  52.04127,-115.60968,1507.18506
  52.10235,-115.62933,1735.31091
  52.13381,-115.78748,1740.23083
  52.04088,-115.76154,1763.46082
  51.87679,-115.67533,2221.22681
  52.03632,-115.64498,1481.75476
  52.00509,-115.79220,1709.41516
  51.99611,-115.54010,1791.87695
  52.05215,-115.87072,1848.84448
  51.93500,-115.67098,1582.25879
  52.13215,-115.63952,1702.89429
  51.74587,-115.65515,1907.08276
  52.08463,-115.66001,1744.14062
  52.01758,-115.69118,1509.40955
  52.05170,-115.84116,1727.57153
  51.72705,-115.61178,1632.89258
  51.75934,-115.64624,2330.09399
  52.04725,-115.81524,1648.87878
  51.76764,-115.51240,1748.24854
  51.79911,-115.68421,1925.12488
  51.91396,-115.90230,2330.80200
  51.92688,-115.78154,2066.91333
  51.86912,-115.76597,1641.82581
  52.07538,-115.59031,1559.02319
  52.04801,-115.87695,1838.40918
  51.79629,-115.52462,1963.16296
  52.05771,-115.60981,1496.20288
  51.84674,-115.76934,1822.97900
  51.91114,-115.73351,1810.36511
  51.85166,-115.80921,1766.84143
  52.07280,-115.70855,1657.94946
  51.85759,-115.76648,1768.84180
  52.13050,-115.74410,1571.71423
  52.03256,-115.65901,1479.03064
  51.94576,-115.63490,1611.40344
  51.91317,-115.51377,1593.83154
  51.86391,-115.75651,1767.92188
  51.99425,-115.86094,1989.66992
  51.89968,-115.82743,1951.33606
  51.79230,-115.60887,1947.11658
  51.94077,-115.71580,1808.60083
  51.92730,-115.81765,2142.27319
